[1] Accuracy: 100.00%
[2] Accuracy: 50.00%
[3] Accuracy: 66.67%
[4] Accuracy: 75.00%
[5] Accuracy: 80.00%
[6] Accuracy: 66.67%
[7] Accuracy: 71.43%
[8] Accuracy: 75.00%
[9] Accuracy: 77.78%
[10] Accuracy: 80.00%
[11] Accuracy: 81.82%
[12] Accuracy: 83.33%
[13] Accuracy: 76.92%
[14] Accuracy: 78.57%
[15] Accuracy: 80.00%
[16] Accuracy: 75.00%
[17] Accuracy: 70.59%
[18] Accuracy: 66.67%
[19] Accuracy: 63.16%
[20] Accuracy: 65.00%
[21] Accuracy: 61.90%
[22] Accuracy: 59.09%
[23] Accuracy: 56.52%
[24] Accuracy: 58.33%
[25] Accuracy: 56.00%
[26] Accuracy: 57.69%
[27] Accuracy: 59.26%
[28] Accuracy: 60.71%
[29] Accuracy: 62.07%
[30] Accuracy: 63.33%
[31] Accuracy: 64.52%
[32] Accuracy: 65.62%
[33] Accuracy: 66.67%
[34] Accuracy: 67.65%
[35] Accuracy: 68.57%
[36] Accuracy: 66.67%
[37] Accuracy: 64.86%
[38] Accuracy: 63.16%
[39] Accuracy: 64.10%
[40] Accuracy: 62.50%
[41] Accuracy: 63.41%
[42] Accuracy: 64.29%
[43] Accuracy: 62.79%
[44] Accuracy: 61.36%
[45] Accuracy: 62.22%
[46] Accuracy: 63.04%
[47] Accuracy: 61.70%
[48] Accuracy: 60.42%
[49] Accuracy: 61.22%
[50] Accuracy: 62.00%
[51] Accuracy: 62.75%
[52] Accuracy: 63.46%
[53] Accuracy: 62.26%
[54] Accuracy: 61.11%
[55] Accuracy: 61.82%
[56] Accuracy: 62.50%
[57] Accuracy: 61.40%
[58] Accuracy: 62.07%
[59] Accuracy: 61.02%
[60] Accuracy: 60.00%
[61] Accuracy: 60.66%
[62] Accuracy: 61.29%
[63] Accuracy: 60.32%
[64] Accuracy: 59.38%
[65] Accuracy: 60.00%
[66] Accuracy: 60.61%
[67] Accuracy: 61.19%
[68] Accuracy: 61.76%
[69] Accuracy: 62.32%
[70] Accuracy: 62.86%
[71] Accuracy: 61.97%
[72] Accuracy: 62.50%
[73] Accuracy: 63.01%
[74] Accuracy: 63.51%
[75] Accuracy: 62.67%
[76] Accuracy: 63.16%
[77] Accuracy: 63.64%
[78] Accuracy: 62.82%
[79] Accuracy: 62.03%
[80] Accuracy: 62.50%
[81] Accuracy: 62.96%
[82] Accuracy: 63.41%
[83] Accuracy: 63.86%
[84] Accuracy: 64.29%
[85] Accuracy: 63.53%
[86] Accuracy: 63.95%
[87] Accuracy: 64.37%
[88] Accuracy: 64.77%
[89] Accuracy: 65.17%
[90] Accuracy: 64.44%
[91] Accuracy: 64.84%
[92] Accuracy: 64.13%
[93] Accuracy: 64.52%
[94] Accuracy: 64.89%
[95] Accuracy: 65.26%
[96] Accuracy: 64.58%
[97] Accuracy: 63.92%
[98] Accuracy: 63.27%
[99] Accuracy: 62.63%
[100] Accuracy: 62.00%
[101] Accuracy: 62.38%
[102] Accuracy: 61.76%
[103] Accuracy: 61.17%
[104] Accuracy: 61.54%
[105] Accuracy: 61.90%
[106] Accuracy: 62.26%
[107] Accuracy: 62.62%
[108] Accuracy: 62.96%
[109] Accuracy: 63.30%
[110] Accuracy: 63.64%
[111] Accuracy: 63.96%
[112] Accuracy: 64.29%
[113] Accuracy: 63.72%
[114] Accuracy: 64.04%
[115] Accuracy: 64.35%
[116] Accuracy: 63.79%
[117] Accuracy: 63.25%
[118] Accuracy: 63.56%
[119] Accuracy: 63.03%
[120] Accuracy: 62.50%
[121] Accuracy: 62.81%
[122] Accuracy: 63.11%
[123] Accuracy: 63.41%
[124] Accuracy: 62.90%
[125] Accuracy: 63.20%
[126] Accuracy: 63.49%
[127] Accuracy: 63.78%
[128] Accuracy: 63.28%
[129] Accuracy: 63.57%
[130] Accuracy: 63.85%
[131] Accuracy: 64.12%
[132] Accuracy: 63.64%
[133] Accuracy: 63.91%
[134] Accuracy: 63.43%
[135] Accuracy: 63.70%
[136] Accuracy: 63.97%
[137] Accuracy: 64.23%
[138] Accuracy: 63.77%
[139] Accuracy: 64.03%
[140] Accuracy: 63.57%
[141] Accuracy: 63.83%
[142] Accuracy: 64.08%
[143] Accuracy: 63.64%
[144] Accuracy: 63.89%
[145] Accuracy: 63.45%
[146] Accuracy: 63.70%
[147] Accuracy: 63.95%
[148] Accuracy: 63.51%
[149] Accuracy: 63.76%
[150] Accuracy: 64.00%
[151] Accuracy: 64.24%
[152] Accuracy: 64.47%
[153] Accuracy: 64.71%
[154] Accuracy: 64.94%
[155] Accuracy: 65.16%
[156] Accuracy: 64.74%
[157] Accuracy: 64.33%
[158] Accuracy: 63.92%
[159] Accuracy: 64.15%
[160] Accuracy: 64.38%
[161] Accuracy: 64.60%
[162] Accuracy: 64.81%
[163] Accuracy: 65.03%
[164] Accuracy: 65.24%
[165] Accuracy: 65.45%
[166] Accuracy: 65.66%
[167] Accuracy: 65.87%
[168] Accuracy: 66.07%
[169] Accuracy: 66.27%
[170] Accuracy: 66.47%
[171] Accuracy: 66.08%
[172] Accuracy: 65.70%
[173] Accuracy: 65.90%
[174] Accuracy: 65.52%
[175] Accuracy: 65.71%
[176] Accuracy: 65.34%
[177] Accuracy: 65.54%
[178] Accuracy: 65.17%
[179] Accuracy: 64.80%
[180] Accuracy: 65.00%
[181] Accuracy: 65.19%
[182] Accuracy: 65.38%
[183] Accuracy: 65.57%
[184] Accuracy: 65.22%
[185] Accuracy: 64.86%
[186] Accuracy: 64.52%
[187] Accuracy: 64.71%
[188] Accuracy: 64.89%
[189] Accuracy: 65.08%
[190] Accuracy: 64.74%
[191] Accuracy: 64.92%
[192] Accuracy: 64.58%
[193] Accuracy: 64.77%
[194] Accuracy: 64.43%
[195] Accuracy: 64.62%
[196] Accuracy: 64.29%
[197] Accuracy: 63.96%
[198] Accuracy: 64.14%
[199] Accuracy: 64.32%
[200] Accuracy: 64.50%
[201] Accuracy: 64.18%
[202] Accuracy: 64.36%
[203] Accuracy: 64.53%
[204] Accuracy: 64.71%
[205] Accuracy: 64.88%
[206] Accuracy: 65.05%
[207] Accuracy: 65.22%
[208] Accuracy: 64.90%
[209] Accuracy: 64.59%
[210] Accuracy: 64.76%
[211] Accuracy: 64.45%
[212] Accuracy: 64.62%
[213] Accuracy: 64.32%
[214] Accuracy: 64.49%
[215] Accuracy: 64.19%
[216] Accuracy: 63.89%
[217] Accuracy: 64.06%
[218] Accuracy: 64.22%
[219] Accuracy: 64.38%
[220] Accuracy: 64.55%
[221] Accuracy: 64.71%
[222] Accuracy: 64.41%
[223] Accuracy: 64.57%
[224] Accuracy: 64.73%
[225] Accuracy: 64.89%
[226] Accuracy: 64.60%
[227] Accuracy: 64.32%
[228] Accuracy: 64.04%
[229] Accuracy: 64.19%
[230] Accuracy: 64.35%
[231] Accuracy: 64.50%
[232] Accuracy: 64.22%
[233] Accuracy: 64.38%
[234] Accuracy: 64.53%
[235] Accuracy: 64.68%
[236] Accuracy: 64.83%
[237] Accuracy: 64.98%
[238] Accuracy: 65.13%
[239] Accuracy: 64.85%
[240] Accuracy: 65.00%
[241] Accuracy: 65.15%
[242] Accuracy: 65.29%
[243] Accuracy: 65.02%
[244] Accuracy: 65.16%
[245] Accuracy: 65.31%
[246] Accuracy: 65.45%
[247] Accuracy: 65.59%
[248] Accuracy: 65.32%
[249] Accuracy: 65.46%
[250] Accuracy: 65.60%
[251] Accuracy: 65.74%
[252] Accuracy: 65.48%
[253] Accuracy: 65.22%
[254] Accuracy: 65.35%
[255] Accuracy: 65.49%
[256] Accuracy: 65.23%
[257] Accuracy: 64.98%
[258] Accuracy: 65.12%
[259] Accuracy: 64.86%
[260] Accuracy: 65.00%
[261] Accuracy: 65.13%
[262] Accuracy: 64.89%
[263] Accuracy: 65.02%
[264] Accuracy: 64.77%
[265] Accuracy: 64.91%
[266] Accuracy: 65.04%
[267] Accuracy: 65.17%
[268] Accuracy: 65.30%
[269] Accuracy: 65.43%
[270] Accuracy: 65.56%
[271] Accuracy: 65.68%
[272] Accuracy: 65.81%
[273] Accuracy: 65.93%
[274] Accuracy: 66.06%
[275] Accuracy: 66.18%
[276] Accuracy: 65.94%
[277] Accuracy: 65.70%
[278] Accuracy: 65.83%
[279] Accuracy: 65.59%
[280] Accuracy: 65.36%
[281] Accuracy: 65.48%
[282] Accuracy: 65.60%
[283] Accuracy: 65.37%
[284] Accuracy: 65.14%
[285] Accuracy: 65.26%
[286] Accuracy: 65.38%
[287] Accuracy: 65.16%
[288] Accuracy: 65.28%
[289] Accuracy: 65.40%
[290] Accuracy: 65.17%
[291] Accuracy: 64.95%
[292] Accuracy: 65.07%
[293] Accuracy: 65.19%
[294] Accuracy: 65.31%
[295] Accuracy: 65.42%
[296] Accuracy: 65.54%
[297] Accuracy: 65.66%
[298] Accuracy: 65.77%
[299] Accuracy: 65.89%
[300] Accuracy: 65.67%
[301] Accuracy: 65.78%
[302] Accuracy: 65.56%
[303] Accuracy: 65.68%
[304] Accuracy: 65.79%
[305] Accuracy: 65.90%
[306] Accuracy: 66.01%
[307] Accuracy: 65.80%
[308] Accuracy: 65.91%
[309] Accuracy: 66.02%
[310] Accuracy: 65.81%
[311] Accuracy: 65.59%
[312] Accuracy: 65.38%
[313] Accuracy: 65.50%
[314] Accuracy: 65.61%
[315] Accuracy: 65.40%
[316] Accuracy: 65.19%
[317] Accuracy: 65.30%
[318] Accuracy: 65.41%
[319] Accuracy: 65.52%
[320] Accuracy: 65.31%
[321] Accuracy: 65.11%
[322] Accuracy: 64.91%
[323] Accuracy: 65.02%
[324] Accuracy: 65.12%
[325] Accuracy: 65.23%
[326] Accuracy: 65.34%
[327] Accuracy: 65.14%
[328] Accuracy: 65.24%
[329] Accuracy: 65.35%
[330] Accuracy: 65.45%
[331] Accuracy: 65.26%
[332] Accuracy: 65.36%
[333] Accuracy: 65.17%
[334] Accuracy: 65.27%
[335] Accuracy: 65.37%
[336] Accuracy: 65.18%
[337] Accuracy: 64.99%
[338] Accuracy: 65.09%
[339] Accuracy: 64.90%
[340] Accuracy: 64.71%
[341] Accuracy: 64.81%
[342] Accuracy: 64.91%
[343] Accuracy: 64.72%
[344] Accuracy: 64.83%
[345] Accuracy: 64.93%
[346] Accuracy: 65.03%
[347] Accuracy: 65.13%
[348] Accuracy: 65.23%
[349] Accuracy: 65.04%
[350] Accuracy: 65.14%
[351] Accuracy: 64.96%
[352] Accuracy: 64.77%
[353] Accuracy: 64.87%
[354] Accuracy: 64.69%
[355] Accuracy: 64.51%
[356] Accuracy: 64.61%
[357] Accuracy: 64.71%
[358] Accuracy: 64.53%
[359] Accuracy: 64.35%
[360] Accuracy: 64.44%
[361] Accuracy: 64.54%
[362] Accuracy: 64.36%
[363] Accuracy: 64.19%
[364] Accuracy: 64.01%
[365] Accuracy: 63.84%
[366] Accuracy: 63.66%
[367] Accuracy: 63.76%
[368] Accuracy: 63.86%
[369] Accuracy: 63.69%
[370] Accuracy: 63.78%
[371] Accuracy: 63.88%
[372] Accuracy: 63.98%
[373] Accuracy: 63.81%
[374] Accuracy: 63.64%
[375] Accuracy: 63.73%
[376] Accuracy: 63.56%
[377] Accuracy: 63.66%
[378] Accuracy: 63.76%
[379] Accuracy: 63.85%
[380] Accuracy: 63.95%
[381] Accuracy: 64.04%
[382] Accuracy: 64.14%
[383] Accuracy: 63.97%
[384] Accuracy: 63.80%
[385] Accuracy: 63.90%
[386] Accuracy: 63.73%
[387] Accuracy: 63.82%
[388] Accuracy: 63.92%
[389] Accuracy: 63.75%
[390] Accuracy: 63.85%
[391] Accuracy: 63.94%
[392] Accuracy: 63.78%
[393] Accuracy: 63.61%
[394] Accuracy: 63.71%
[395] Accuracy: 63.54%
[396] Accuracy: 63.64%
[397] Accuracy: 63.73%
[398] Accuracy: 63.82%
[399] Accuracy: 63.66%
[400] Accuracy: 63.75%
[401] Accuracy: 63.59%
[402] Accuracy: 63.68%
[403] Accuracy: 63.77%
[404] Accuracy: 63.86%
[405] Accuracy: 63.70%
[406] Accuracy: 63.79%
[407] Accuracy: 63.64%
[408] Accuracy: 63.73%
[409] Accuracy: 63.57%
[410] Accuracy: 63.66%
[411] Accuracy: 63.75%
[412] Accuracy: 63.59%
[413] Accuracy: 63.68%
[414] Accuracy: 63.77%
[415] Accuracy: 63.86%
[416] Accuracy: 63.94%
[417] Accuracy: 63.79%
[418] Accuracy: 63.88%
[419] Accuracy: 63.72%
[420] Accuracy: 63.57%
[421] Accuracy: 63.42%
[422] Accuracy: 63.51%
[423] Accuracy: 63.59%
[424] Accuracy: 63.44%
[425] Accuracy: 63.53%
[426] Accuracy: 63.38%
[427] Accuracy: 63.47%
[428] Accuracy: 63.32%
